Vg,Id,Is,Ig,Vd,Rt,Drain Current (nA),|IG| (pA),gm
0.0,1.488e-11,-4.91e-12,-3.146e-11,0.05,3360215053.76344,0.01488,31.46,-5.450000000000001e-10
0.02,3.98e-12,-1.305e-11,-2.121e-11,0.05,12562814070.3518,0.00398,21.21,-4.6275e-10
0.04,-3.63e-12,-4.92e-12,1.123e-11,0.05,-13774104683.1956,-0.00363,11.23,-7.924999999999996e-11
0.06,8.1e-13,-1.349e-11,4.58e-11,0.05,61728395061.7284,0.00081,45.8,-2.474999999999994e-11
0.08,-4.62e-12,-1.011e-11,2.756e-11,0.05,-10822510822.5108,-0.00462,27.56,-1.7199999999999992e-10
0.1,-6.07e-12,-1.978e-11,1.76e-11,0.05,-8237232289.95058,-0.00607,17.599999999999998,-3.492500000000002e-10
0.12,-1.859e-11,-1.488e-11,-1.542e-11,0.05,-2689618074.23346,-0.01859,15.42,-2.3375000000000046e-10
0.14,-1.542e-11,-1.89e-11,3.187e-11,0.05,-3242542153.04799,-0.01542,31.87,-3.400000000000019e-11
0.16,-1.995e-11,-1.414e-11,4.332e-11,0.05,-2506265664.1604,-0.01995,43.32,-7.000000000000002e-11
0.18,-1.822e-11,-1.484e-11,8.257e-11,0.05,-2744237102.08562,-0.01822,82.57000000000001,1.2000000000000165e-11
0.2,-1.947e-11,-1.605e-11,4.036e-11,0.05,-2568053415.51104,-0.019469999999999998,40.36,-1.2975000000000015e-10
0.22,-2.341e-11,-2.01e-11,2.491e-11,0.05,-2135839384.87826,-0.02341,24.91,-2.407500000000001e-10
0.24,-2.91e-11,-2.363e-11,1.47e-11,0.05,-1718213058.41924,-0.029099999999999997,14.700000000000001,-2.5375e-10
0.26,-3.356e-11,-1.585e-11,5.228e-11,0.05,-1489868891.53754,-0.03356,52.28,-5.949999999999995e-11
0.28,-3.148e-11,-2.007e-11,8.238e-11,0.05,-1588310038.11944,-0.031479999999999994,82.38000000000001,-1.5000000000000465e-11
0.3,-3.416e-11,-1.703e-11,7.403e-11,0.05,-1463700234.19204,-0.03416,74.03,-5.950000000000026e-11
0.32,-3.386e-11,-2.686e-11,6.144e-11,0.05,-1476668635.55818,-0.03386,61.44,-3.2474999999999973e-10
0.34,-4.715e-11,-2.262e-11,2.068e-11,0.05,-1060445387.06257,-0.04715,20.68,-2.094999999999988e-10
0.36,-4.224e-11,-2.651e-11,6.546e-11,0.05,-1183712121.21212,-0.04224,65.46,-3.199999999999927e-11
0.38,-4.843e-11,-1.857e-11,7.815e-11,0.05,-1032417922.77514,-0.04843,78.14999999999999,-1.7500000000000198e-11
0.4,-4.294e-11,-2.174e-11,1.1644e-10,0.05,-1164415463.43735,-0.04294,116.43999999999998,4.4999999999999534e-11
0.42,-4.663e-11,-2.255e-11,7.029e-11,0.05,-1072271070.12653,-0.04663,70.28999999999999,-1.665e-10
0.44,-4.96e-11,-2.524e-11,6.076e-11,0.05,-1008064516.12903,-0.049600000000000005,60.760000000000005,-1.9749999999999978e-10
0.46,-5.453e-11,-3.168e-11,4.249e-11,0.05,-916926462.497708,-0.054529999999999995,42.49,-2.5900000000000024e-10
0.48,-5.996e-11,-2.372e-11,8.884e-11,0.05,-833889259.506338,-0.059960000000000006,88.84,-8.875000000000055e-11
0.5,-5.808e-11,-2.699e-11,1.1768e-10,0.05,-860881542.699725,-0.05808,117.68,-3.1499999999999736e-11
0.52,-6.122e-11,-2.487e-11,1.0544e-10,0.05,-816726559.947729,-0.06122,105.44,-2.824999999999998e-11
0.54,-5.921e-11,-3.543e-11,9.169e-11,0.05,-844451950.684006,-0.05920999999999999,91.69,-2.7699999999999977e-10
0.56,-7.23e-11,-2.888e-11,5.671e-11,0.05,-691562932.226833,-0.0723,56.709999999999994,-2.3499999999999846e-10
0.58,-6.861e-11,-3.312e-11,9.621e-11,0.05,-728756740.999854,-0.06860999999999999,96.21,2.0000000000001172e-11
0.6,-7.15e-11,-2.625e-11,1.0701e-10,0.05,-699300699.300699,-0.0715,107.01,5.749999999999985e-11
0.62,-6.631e-11,-3.037e-11,1.4637e-10,0.05,-754034082.340522,-0.06631000000000001,146.37,-1.2250000000000035e-11
0.64,-7.199e-11,-2.774e-11,1.0541e-10,0.05,-694540908.459508,-0.07199,105.41,-1.0875000000000006e-10
0.66,-7.066e-11,-3.327e-11,1.0149e-10,0.05,-707613925.842061,-0.07066,101.49000000000001,-1.6525000000000002e-10
0.68,-7.86e-11,-3.575e-11,6.625e-11,0.05,-636132315.521629,-0.0786,66.25,-2.8125000000000004e-10
0.7,-8.191e-11,-3.265e-11,1.1717e-10,0.05,-610426077.402027,-0.08191000000000001,117.16999999999999,-6.00000000000002e-11
0.72,-8.1e-11,-3.347e-11,1.4434e-10,0.05,-617283950.617284,-0.081,144.34,1.4000000000000158e-11
0.74,-8.135e-11,-3.179e-11,1.4312e-10,0.05,-614628149.969269,-0.08134999999999999,143.12,4.24999999999998e-11
0.76,-7.93e-11,-4.143e-11,1.1891e-10,0.05,-630517023.959647,-0.0793,118.91000000000001,-2.1949999999999991e-10
0.78,-9.013e-11,-3.612e-11,9.076e-11,0.05,-554754243.869966,-0.09013,90.76,-1.5624999999999974e-10
0.8,-8.555e-11,-4.018e-11,1.2216e-10,0.05,-584453535.943892,-0.08555,122.16,3.499999999999833e-11
0.82,-8.873e-11,-3.321e-11,1.3181e-10,0.05,-563507269.243773,-0.08873,131.81,4.1499999999999495e-11
0.84,-8.389e-11,-3.832e-11,1.7237e-10,0.05,-596018595.780188,-0.08388999999999999,172.37,3.150000000000015e-11
0.86,-8.747e-11,-3.592e-11,1.3016e-10,0.05,-571624556.990968,-0.08746999999999999,130.16,-5.825000000000029e-11
0.88,-8.622e-11,-4.033e-11,1.0503e-10,0.05,-579911853.398283,-0.08622,105.03,-9.450000000000004e-11
0.9,-9.125e-11,-4.48e-11,1.12e-10,0.05,-547945205.479452,-0.09125,112.0,-1.9799999999999994e-10
0.92,-9.414e-11,-3.49e-11,1.4329e-10,0.05,-531123858.083705,-0.09414,143.29,1.0375000000000101e-10
0.94,-8.71e-11,-4.345e-11,1.7339e-10,0.05,-574052812.858783,-0.0871,173.39000000000001,6.050000000000201e-11
0.96,-9.172e-11,-4.044e-11,1.4455e-10,0.05,-545137374.618404,-0.09172,144.55,-7.524999999999971e-11
0.98,-9.011e-11,-4.881e-11,1.3678e-10,0.05,-554877372.100766,-0.09011,136.78,-1.5250000000000046e-10
1.0,-9.782e-11,-4.581e-11,9.691e-11,0.05,-511142915.55919,-0.09782,96.91000000000001,-5.649999999999996e-11
1.02,-9.237e-11,-4.938e-11,1.4597e-10,0.05,-541301288.297066,-0.09237,145.97,1.700000000000025e-11
1.04,-9.714e-11,-4.444e-11,1.5491e-10,0.05,-514721021.206506,-0.09714,154.91000000000003,8.12499999999999e-11
1.06,-8.912e-11,-4.538e-11,1.8633e-10,0.05,-561041292.639138,-0.08912,186.32999999999998,2.0424999999999958e-10
1.08,-8.897e-11,-4.851e-11,1.3884e-10,0.05,-561987186.692143,-0.08897000000000001,138.84,-2.274999999999974e-11
1.1,-9.003e-11,-5.101e-11,1.2544e-10,0.05,-555370432.078196,-0.09003,125.44000000000001,-8.449999999999945e-11
1.12,-9.235e-11,-5.505e-11,1.1194e-10,0.05,-541418516.513265,-0.09235,111.94,-8.700000000000022e-11
1.14,-9.351e-11,-4.782e-11,1.4756e-10,0.05,-534702170.890814,-0.09351,147.56,1.1399999999999857e-10
1.16,-8.779e-11,-5.168e-11,1.7696e-10,0.05,-569540949.994305,-0.08779,176.96,1.284999999999997e-10
1.18,-8.837e-11,-5.049e-11,1.6006e-10,0.05,-565802874.278601,-0.08837,160.05999999999997,6.599999999999998e-11
1.2,-8.515e-11,-5.902e-11,1.4859e-10,0.05,-587199060.481503,-0.08515,148.59,-1.2899999999999945e-10
1.22,-9.353e-11,-5.549e-11,1.1014e-10,0.05,-534587832.780926,-0.09353,110.14,-3.999999999999986e-11
1.24,-8.675e-11,-5.997e-11,1.4839e-10,0.05,-576368876.080692,-0.08675,148.39,6.974999999999968e-11
1.26,-9.074e-11,-5.306e-11,1.5528e-10,0.05,-551024906.325766,-0.09074,155.28,1.237499999999997e-10
1.28,-8.18e-11,-5.633e-11,1.9356e-10,0.05,-611246943.765281,-0.0818,193.56,2.0650000000000006e-10
1.3,-8.248e-11,-5.658e-11,1.4528e-10,0.05,-606207565.470417,-0.08248,145.28,9.500000000000019e-12
1.32,-8.142e-11,-6.175e-11,1.3384e-10,0.05,-614099729.796119,-0.08142,133.84,-4.699999999999994e-11
1.34,-8.436e-11,-6.49e-11,1.0897e-10,0.05,-592697961.119014,-0.08435999999999999,108.97,-3.7750000000000206e-11
1.36,-8.293e-11,-6.202e-11,1.4969e-10,0.05,-602918123.718799,-0.08293,149.69,1.1800000000000063e-10
1.38,-7.964e-11,-6.409e-11,1.7316e-10,0.05,-627825213.460573,-0.07964,173.16,1.4025000000000104e-10
1.4,-7.732e-11,-6.272e-11,1.67e-10,0.05,-646663217.796172,-0.07732,167.0,1.4374999999999963e-10
1.42,-7.389e-11,-7.182e-11,1.4411e-10,0.05,-676681553.660847,-0.07389,144.11,-1.190000000000001e-10
1.44,-8.208e-11,-6.88e-11,1.1298e-10,0.05,-609161793.37232,-0.08208,112.97999999999999,-1.4499999999999898e-11
1.46,-7.447e-11,-7.387e-11,1.4355e-10,0.05,-671411306.566403,-0.07447000000000001,143.55,1.2475e-10
1.48,-7.709e-11,-6.512e-11,1.498e-10,0.05,-648592554.157478,-0.07709,149.79999999999998,1.5724999999999984e-10
1.5,-6.818e-11,-7.123e-11,1.9426e-10,0.05,-733352889.410384,-0.06818,194.26000000000002,1.8924999999999994e-10
1.52,-6.952e-11,-6.856e-11,1.4476e-10,0.05,-719217491.36939,-0.06952,144.76,6.524999999999996e-11
1.54,-6.557e-11,-7.593e-11,1.3575e-10,0.05,-762543846.271161,-0.06557,135.75,7.749999999999896e-12
1.56,-6.921e-11,-7.89e-11,1.0295e-10,0.05,-722438953.908395,-0.06921,102.95,-7.774999999999986e-11
1.58,-6.868e-11,-7.626e-11,1.5068e-10,0.05,-728013977.868375,-0.06868,150.67999999999998,6.074999999999982e-11
1.6,-6.678e-11,-7.745e-11,1.7133e-10,0.05,-748727163.821504,-0.06678,171.32999999999998,1.6699999999999973e-10
1.62,-6.2e-11,-7.652e-11,1.7274e-10,0.05,-806451612.903226,-0.062000000000000006,172.73999999999998,2.0150000000000018e-10
1.64,-5.872e-11,-8.454e-11,1.4814e-10,0.05,-851498637.60218,-0.05872000000000001,148.14,-6.574999999999742e-11
1.66,-6.463e-11,-8.304e-11,1.1666e-10,0.05,-773634535.045645,-0.06463,116.65999999999998,-1.524999999999992e-11
1.68,-5.933e-11,-8.735e-11,1.3985e-10,0.05,-842743974.380583,-0.05933,139.85,9.67499999999999e-11
1.7,-6.076e-11,-8.054e-11,1.525e-10,0.05,-822909809.084924,-0.06076000000000001,152.5,1.924999999999999e-10
1.72,-5.163e-11,-8.634e-11,1.9003e-10,0.05,-968429207.824908,-0.05163,190.03,1.5524999999999985e-10
1.74,-5.455e-11,-8.635e-11,1.4531e-10,0.05,-916590284.142988,-0.05455,145.30999999999997,7.874999999999996e-11
1.76,-4.848e-11,-9.283e-11,1.3639e-10,0.05,-1031353135.31353,-0.048479999999999995,136.39000000000001,6.750000000000209e-12
1.78,-5.428e-11,-9.456e-11,9.914e-11,0.05,-921149594.694178,-0.05428,99.14,-8.000000000000014e-11
1.8,-5.168e-11,-9.626e-11,1.4922e-10,0.05,-967492260.061919,-0.051680000000000004,149.22,1.3024999999999983e-10
1.82,-4.907e-11,-9.455e-11,1.6922e-10,0.05,-1018952516.81272,-0.049069999999999996,169.22,1.5699999999999997e-10
1.84,-4.54e-11,-9.42e-11,1.7648e-10,0.05,-1101321585.90308,-0.0454,176.48,2.3049999999999977e-10
1.86,-3.985e-11,-1.025e-10,1.4412e-10,0.05,-1254705144.29109,-0.03985,144.11999999999998,7.749999999997e-12
1.88,-4.509e-11,-9.997e-11,1.1644e-10,0.05,-1108893324.46219,-0.045090000000000005,116.43999999999998,-3.6000000000002564e-11
1.9,-4.129e-11,-1.0423e-10,1.3215e-10,0.05,-1210946960.52313,-0.04129,132.15,7.275000000000019e-11
1.92,-4.218e-11,-9.668e-11,1.4899e-10,0.05,-1185395922.23803,-0.042179999999999995,148.98999999999998,2.1724999999999984e-10
1.94,-3.26e-11,-1.0625e-10,1.8567e-10,0.05,-1533742331.28834,-0.032600000000000004,185.67,1.9374999999999977e-10
1.96,-3.443e-11,-1.0493e-10,1.4744e-10,0.05,-1452221899.50624,-0.034429999999999995,147.44,8.049999999999998e-11
1.98,-2.938e-11,-1.1509e-10,1.4069e-10,0.05,-1701837985.02383,-0.02938,140.69,-1.1749999999999985e-11
2.0,-3.49e-11,-1.145e-10,1.0238e-10,0.05,-1432664756.44699,-0.0349,102.38,-2.7999999999999903e-11
2.02,-3.05e-11,-1.1832e-10,1.4519e-10,0.05,-1639344262.29508,-0.0305,145.19,8.12499999999998e-11
2.04,-3.165e-11,-1.1428e-10,1.6293e-10,0.05,-1579778830.96367,-0.031650000000000005,162.93,1.7099999999999982e-10
2.06,-2.366e-11,-1.1626e-10,1.8698e-10,0.05,-2113271344.04057,-0.02366,186.98000000000002,2.862499999999999e-10
2.08,-2.02e-11,-1.2082e-10,1.4149e-10,0.05,-2475247524.75248,-0.0202,141.48999999999998,6.074999999999992e-11
2.1,-2.123e-11,-1.2317e-10,1.2407e-10,0.05,-2355157795.5723,-0.021230000000000002,124.07,2.374999999999984e-11
2.12,-1.925e-11,-1.2964e-10,1.221e-10,0.05,-2597402597.4026,-0.01925,122.1,5.649999999999996e-11
2.14,-1.897e-11,-1.2145e-10,1.4969e-10,0.05,-2635740643.12072,-0.01897,149.69,2.622499999999998e-10
2.16,-8.76e-12,-1.295e-10,1.8242e-10,0.05,-5707762557.07763,-0.00876,182.42000000000002,1.9524999999999982e-10
2.18,-1.116e-11,-1.2822e-10,1.4965e-10,0.05,-4480286738.35125,-0.01116,149.65,7.099999999999996e-11
2.2,-5.92e-12,-1.4052e-10,1.4375e-10,0.05,-8445945945.94595,-0.00592,143.75,-2.349999999999997e-11
2.22,-1.21e-11,-1.371e-10,1.0349e-10,0.05,-4132231404.95868,-0.012100000000000001,103.49,3.9749999999999966e-11
2.24,-4.33e-12,-1.4185e-10,1.506e-10,0.05,-11547344110.8545,-0.0043300000000000005,150.6,1.7224999999999698e-10
2.26,-5.21e-12,-1.4105e-10,1.6524e-10,0.05,-9596928982.72553,-0.00521,165.23999999999998,1.6774999999999702e-10
2.28,2.38e-12,-1.4182e-10,1.8957e-10,0.05,21008403361.3445,0.00238,189.57,2.9349999999999976e-10
2.3,6.53e-12,-1.5006e-10,1.4506e-10,0.05,7656967840.73507,0.00653,145.06,1.3324999999999988e-10
2.32,7.71e-12,-1.5179e-10,1.1911e-10,0.05,6485084306.09598,0.00771,119.10999999999999,9.500000000000019e-12
2.34,6.91e-12,-1.57e-10,1.2925e-10,0.05,7235890014.47178,0.00691,129.25,2.3749999999999996e-11
2.36,8.66e-12,-1.4999e-10,1.4982e-10,0.05,5773672055.42725,0.008660000000000001,149.82,2.679999999999998e-10
2.38,1.763e-11,-1.5847e-10,1.8104e-10,0.05,2836074872.37663,0.01763,181.04,2.5024999999999973e-10
2.4,1.867e-11,-1.5922e-10,1.5178e-10,0.05,2678093197.64328,0.01867,151.78,1.6074999999999978e-10
2.42,2.406e-11,-1.7017e-10,1.4284e-10,0.05,2078137988.36243,0.024059999999999998,142.84,-1.3749999999999927e-11
2.44,1.812e-11,-1.6787e-10,1.0595e-10,0.05,2759381898.45475,0.01812,105.95,4.7000000000000044e-11
2.46,2.594e-11,-1.7418e-10,1.4575e-10,0.05,1927525057.82575,0.02594,145.75,2.0824999999999982e-10
2.48,2.645e-11,-1.7146e-10,1.5959e-10,0.05,1890359168.24197,0.02645,159.58999999999997,2.1524999999999975e-10
2.5,3.455e-11,-1.7431e-10,1.8519e-10,0.05,1447178002.89436,0.03455,185.19,3.839999999999998e-10
2.52,4.181e-11,-1.8208e-10,1.4511e-10,0.05,1195886151.63836,0.04181,145.11,1.4449999999999986e-10
2.54,4.033e-11,-1.8423e-10,1.2104e-10,0.05,1239771881.97372,0.04033,121.04,3.224999999999976e-11
2.56,4.31e-11,-1.91e-10,1.1879e-10,0.05,1160092807.42459,0.0431,118.79,1.0849999999999999e-10
2.58,4.467e-11,-1.8703e-10,1.5118e-10,0.05,1119319453.77211,0.04467,151.17999999999998,2.747499999999997e-10
2.6,5.409e-11,-1.9434e-10,1.7937e-10,0.05,924385283.786282,0.05409,179.37,2.5024999999999983e-10
2.62,5.468e-11,-1.9528e-10,1.5415e-10,0.05,914411119.23921,0.05468,154.15,2.1925000000000004e-10
2.64,6.286e-11,-2.0827e-10,1.4435e-10,0.05,795418390.073179,0.06286,144.35,5.249999999999956e-12
2.66,5.489e-11,-2.0659e-10,1.0276e-10,0.05,910912734.560029,0.054889999999999994,102.76,5.6249999999999677e-11
2.68,6.511e-11,-2.1454e-10,1.4504e-10,0.05,767931193.365074,0.06511,145.04,2.322499999999999e-10
2.7,6.418e-11,-2.1071e-10,1.5561e-10,0.05,779058896.852602,0.06418,155.60999999999999,2.9125e-10
2.72,7.676e-11,-2.1547e-10,1.9373e-10,0.05,651380927.566441,0.07676,193.73000000000002,3.732499999999997e-10
2.74,7.911e-11,-2.1972e-10,1.4254e-10,0.05,632031348.754898,0.07911,142.54,2.0275000000000408e-10
2.76,8.487e-11,-2.2668e-10,1.2459e-10,0.05,589136326.14587,0.08487,124.59,1.6450000000000414e-10
2.78,8.569e-11,-2.346e-10,1.1326e-10,0.05,583498657.953087,0.08569,113.26,7.324999999999951e-11
2.8,8.78e-11,-2.2981e-10,1.4315e-10,0.05,569476082.004556,0.0878,143.15,3.009999999999997e-10
2.82,9.773e-11,-2.3832e-10,1.7285e-10,0.05,511613629.387087,0.09773,172.85,3.1874999999999996e-10
2.84,1.0055e-10,-2.4117e-10,1.5466e-10,0.05,497265042.267529,0.10055,154.66000000000003,2.922499999999997e-10
2.86,1.0942e-10,-2.5411e-10,1.4462e-10,0.05,456954852.860537,0.10941999999999999,144.61999999999998,7.55e-11
2.88,1.0357e-10,-2.5301e-10,1.0557e-10,0.05,482765279.521097,0.10357,105.57000000000001,1.2075000000000044e-10
2.9,1.1425e-10,-2.6155e-10,1.4259e-10,0.05,437636761.487965,0.11425,142.59,2.8099999999999975e-10
2.92,1.1481e-10,-2.5911e-10,1.5018e-10,0.05,435502133.960456,0.11481,150.17999999999998,3.677499999999997e-10
2.94,1.2896e-10,-2.6581e-10,1.8751e-10,0.05,387717121.588089,0.12896000000000002,187.51000000000002,3.7774999999999986e-10
2.96,1.2992e-10,-2.6926e-10,1.4385e-10,0.05,384852216.748769,0.12992,143.85,2.359999999999996e-10
2.98,1.384e-10,-2.8035e-10,1.3113e-10,0.05,361271676.300578,0.1384,131.13,1.779999999999996e-10
3.0,1.3704e-10,-2.8737e-10,9.935e-11,0.05,364856976.065382,0.13704,99.35,1.2700000000000008e-10
3.02,1.4348e-10,-2.8788e-10,1.4652e-10,0.05,348480624.477279,0.14348,146.52,3.044999999999995e-10
3.04,1.4922e-10,-2.9393e-10,1.6591e-10,0.05,335075727.114328,0.14922,165.91,3.25e-10
3.06,1.5648e-10,-2.9561e-10,1.6616e-10,0.05,319529652.351738,0.15648,166.16,4.352499999999997e-10
3.08,1.6663e-10,-3.0978e-10,1.4169e-10,0.05,300066014.523195,0.16663,141.69,1.8624999999999943e-10
3.1,1.6393e-10,-3.1152e-10,1.0865e-10,0.05,305008235.222351,0.16393,108.64999999999999,1.8249999999999932e-10
3.12,1.7393e-10,-3.1911e-10,1.3016e-10,0.05,287471971.48278,0.17393,130.16,3.6324999999999913e-10
3.14,1.7846e-10,-3.1495e-10,1.4486e-10,0.05,280174829.093354,0.17846,144.86,4.712500000000008e-10
3.16,1.9278e-10,-3.286e-10,1.8313e-10,0.05,259363004.461044,0.19278,183.13,3.887499999999999e-10
3.18,1.9401e-10,-3.3115e-10,1.4162e-10,0.05,257718674.295139,0.19401000000000002,141.62,3.199999999999989e-10
3.2,2.0558e-10,-3.4257e-10,1.2911e-10,0.05,243214320.459189,0.20558,129.11,2.430000000000001e-10
3.22,2.0373e-10,-3.4948e-10,9.58e-11,0.05,245422863.593972,0.20373,95.8,9.324999999999986e-11
3.24,2.0931e-10,-3.5424e-10,1.415e-10,0.05,238880129.950791,0.20931,141.5,2.9775000000000344e-10
3.26,2.1564e-10,-3.586e-10,1.6353e-10,0.05,231867928.028195,0.21564,163.53,4.4275000000000077e-10
3.28,2.2702e-10,-3.6377e-10,1.7024e-10,0.05,220244912.342525,0.22702,170.24,5.087499999999995e-10
3.3,2.3599e-10,-3.7847e-10,1.3697e-10,0.05,211873384.465443,0.23598999999999998,136.97,2.1925000000000046e-10
